,Latitude,Longitude,Magnitude,Depth(km),Region,Timestamp
12407,31.8,68.47,3.9,15,"100km NE of Zhob, Balochistan",2017-03-04 10:14:38
12415,33.4,72.85,1.7,12,"Near Fateh Jang., Punjab",2017-03-02 06:56:57
12428,33.71,72.06,3.0,15,"Near Cherat, KPK",2017-02-28 07:20:58
12458,34.04,72.37,3.1,15,"21 km North of Attock, Pakistan",2017-02-23 06:32:00
12493,35.91,71.4,3.3,219,"32km South West of Chitral, KP, Pakistan",2017-02-14 18:14:53
12532,33.98,73.26,2.0,13,"15 km West of Murree, Pakistan",2017-02-08 10:15:21
12533,25.1,63.11,5.3,30,"35 km South West of Pasni, Pakistan",2017-02-08 11:02:43
12543,35.18,73.39,3.2,30,"45 Km NW of Naran, KP, Pakistan",2017-02-07 06:56:59
12555,34.79,73.48,2.2,12,"Near Kaghan, KPK",2017-02-05 18:38:27
12559,34.09,73.84,1.6,12,"45 km North East of Murree, Azad Kashmir, Pakistan",2017-02-02 11:20:05
12560,30.23,66.98,2.8,15,"40 km North East of Sibbi, Balochistan, Pakistan",2017-02-02 20:02:15
12595,26.54,66.11,4.8,32,"146km South of Khuzdar, Near Garahi, Balochistan",2017-01-29 08:51:05
12613,30.99,67.14,2.1,21,"84 km North of Quetta, Pakistan",2017-01-26 16:44:50
12615,30.38,67.64,3.2,20,"72km NE of Quetta, Balochistan",2017-01-26 08:20:48
12625,33.96,71.56,3.0,18,"Near Peshawar, PK",2017-01-23 10:15:29
12665,24.91,67.07,3.6,12,"Near Karachi, Pakistan",2017-01-17 05:43:36
12676,35.62,72.94,2.5,7,"35 Km NE of Kalam, KPK.",2017-01-14 01:12:06
12693,27.78,66.28,3.4,25,"35 Km West of Khuzdar, Baluchistan, Pk.",2017-01-11 19:03:05
12703,26.7,63.01,3.6,25,"80 Km North of Turbat, Iran-Pakistan Border Region",2017-01-09 12:52:41
12713,32.02,71.79,4.2,58,"19km NW of Noorpur Thal, Punjab",2017-01-08 13:31:35
12764,34.82,73.58,3.5,40,"11km SW of Naran, KPK",2017-01-03 06:56:28
12775,34.91,73.49,2.8,12,"14km West of Naran, KPK",2017-01-02 07:16:45
12791,31.21,70.63,2.3,40,"Pakistan, 40 km NW of Layyah City",2016-12-31 19:59:19
12808,27.18,66.65,2.5,10,"Near Kuzdar, Baluchistan, PK",2016-12-29 17:35:55
12810,33.58,71.97,1.8,15,"13 Km North of Khushal Garh, KP, Pakistan",2016-12-29 16:00:55
12820,34.75,73.07,0.7,10,"Near Allai, KPK",2016-12-28 14:34:24
12838,34.6,73.83,3.5,20,"21 Km Northeast of Balgran, Near Athmuqam, AJK, PK",2016-12-27 07:17:11
12843,32.51,69.76,3.0,12,"30 Km Northeast of Wana, FATA, PK",2016-12-26 14:35:49
12844,34.96,73.24,2.5,15,"20 Km Northeast of Allai, Khyber Pakhtunkhwa, Pk",2016-12-26 14:11:41
12877,34.4,73.74,3.3,13,"25km East of Muzaffarabad, AJK, Pakistan",2016-12-22 20:48:05
12878,34.79,73.35,2.3,17,15Km West of Kaghan KPK,2016-12-22 13:45:15
12881,34.63,73.56,2.5,10,"22 Km NE of Balakot, KP, Pakistan",2016-12-22 01:23:43
12882,34.56,73.9,2.0,11,"20 Km northeast of Balgran, Near Athmuqam, AJK, PK",2016-12-22 00:11:06
12902,34.74,73.35,3.0,15,"24 km North of Balakot, KP, Pakistan",2016-12-19 10:44:36
12903,34.73,73.35,2.9,15,"24 km North of Balakot, KP, Pakistan",2016-12-19 10:41:33
12969,32.68,72.99,1.8,107,"06 km NW of Khewra, Pakistan",2016-12-14 02:11:14
12988,34.77,73.83,3.6,32,"15kn NW of Keran, AJK, PK",2016-12-12 13:39:34
13009,34.96,72.97,2.6,12,"20 Km North West of Allai, KP, Pakistan",2016-12-10 10:30:00
13010,27.4,66.2,2.3,12,"35 km South East of Khuzdar, Pakistan",2016-12-10 10:09:10
13029,31.88,72.82,3.3,13,"23km South East of Sargodha, Pakistan",2016-12-08 11:11:46
13134,30.8,69.1,2.3,24,"69 km NE of Loralai, Balochistan",2016-11-26 15:12:05
13166,32.57,70.86,2.5,15,"63km East of Mianwali, Pakistan",2016-11-24 03:07:35
13193,31.29,70.06,3.3,62,"59km East of Zhob, Balochistan",2016-11-21 00:57:40
13205,24.5,64.13,3.6,10,Off Coast of Pakistan,2016-05-27 06:43:19
13210,30.76,66.65,5.5,49,"24km SW of Chaman, Balochistan",2016-05-13 07:01:18
13211,30.72,66.51,5.3,10,"20km SW of Chaman, Balochistan",2016-05-13 06:59:34
13234,32.17,72.28,3.6,86,"12km South of Khushab, Punjab",2016-04-06 02:06:14
13240,34.05,73.96,2.4,12,"15 Km NE of Bagh, AJK, Pakistan",2016-11-19 00:36:01
13241,31.78,72.88,3.1,18,"51 Km North of Jhnag, Punjab, Pakistan",2016-11-18 23:37:15
13254,34.87,73.28,3.1,15,"23 Km NW of Kaghan, KP, Pakistan",2016-11-18 02:35:20
13278,29.29,67.24,4.0,33,"Near Sibbi, Balochistan",2016-03-30 17:04:28
13279,27.72,66.14,4.8,10,"46km SW of Khuzdar, Balochistan",2016-03-28 16:18:30
13283,28.83,68.65,3.3,15,"35KM NE of Kharan, Balochistan",2016-03-24 08:17:41
13284,27.78,66.5,3.9,10,"10km SW of Khuzdar, Balochistan",2016-03-23 18:05:39
13285,28.01,64.56,3.3,10,"191km West of Khuzdar, Balochistan",2016-03-21 16:36:00
13286,27.86,65.17,3.2,10,"135km West of Khuzdar, Balochistan",2016-03-21 15:57:38
13287,28.19,64.34,3.3,10,"Near Khuzdar, Balochistan",2016-03-21 15:22:00
13288,27.67,65.28,3.3,20,"Near Khuzdar, Balochistan",2016-03-21 15:18:00
13289,27.95,65.32,3.6,10,"Near Khuzdar, Balochistan",2016-03-21 14:55:00
13290,27.86,66.37,5.6,10,"Near Khuzdar, Balochistan",2016-03-21 14:48:53
13291,28.35,65.27,3.2,10,"140km West of Khuzdar, Balochistan",2016-03-21 13:47:25
13313,31.59,70.34,3.9,10,"86km NE of Zhob Airport, Balochistan",2016-02-20 00:57:59
13323,30.59,69.53,3.1,109,"81km SE of Zhob, Balochistan",2016-02-06 05:26:43
13357,34.75,73.18,2.6,43,"20 Km SE Of Allai, KPK.",2016-11-14 00:06:47
13385,29.05,67.12,4.1,10,"50km East of Kalat, Balochistan",2016-11-12 11:43:50
13392,34.47,73.67,2.5,4,"20 Km NE of Muzaffarabad, near Balgram, AJK, PK",2016-11-11 21:11:22
13398,34.26,73.59,1.8,11,"16 km SW of Muzaffarabad, AJK, Pakistan",2016-11-10 21:49:21
13450,34.47,74.88,2.7,16,40 km NE of Pattan Pakistan,2016-11-04 10:55:37
13470,35.86,72.93,2.8,129,"100km East of Chitral, Pakistan",2016-11-01 15:14:22
13511,34.96,73.51,1.8,18,"14km North West of Naran, KP, Pakistan",2016-10-28 04:46:00
13524,32.38,72.69,2.0,12,"30 Km Northeast of Khushab, Punjab",2016-10-26 23:50:11
13529,30.33,69.58,2.4,15,"40 Km North West of Fort Munro, Pakistan",2016-10-26 10:59:54
13539,36.41,73.62,2.0,36,"15 Km Northeast of Muzaffarabad, AJK, Pakistan",2016-10-25 14:39:34
13545,32.38,70.69,1.8,30,"33 Km NE of Lakki Marwat, KPK",2016-10-25 00:16:57
13548,34.72,73.28,1.7,120,Pakistan,2016-10-24 20:23:34
13551,34.72,73.28,3.4,18,15 km SOUTH EAST of ALLAI PAKISTAN,2016-10-24 10:51:56
13554,34.38,71.66,3.1,12,45 km NW of Mardan KPK,2016-10-24 06:00:00
13565,34.88,73.42,2.1,16,"20 Km East of Allai, Pakistan",2016-10-23 18:42:24
13588,34.88,73.01,2.5,13,60 km of North East of Mingora KPK Pakistan,2016-10-21 09:50:58
13598,35.52,73.46,1.7,19,"85 Km South West of Gilgit, Pakistan",2016-10-20 12:44:28
13691,30.83,69.98,3.1,19,75 km SE of Zhob Pakistan,2016-10-10 14:16:50
13693,34.13,72.59,1.6,25,33 km of East of Haripur Pakistan,2016-10-10 13:29:18
13815,26.63,66.21,4.5,75,209 KM of NW of Karachi Pakistan,2016-09-27 15:55:43
13857,28.65,68.05,4.0,15,"20km South East of Dera Murad Jamali, Balochistan",2016-09-24 04:17:01
13878,26.74,68.98,4.9,20,60 Km Northeast of Nawab Shah Sindh,2016-09-22 20:24:44
13954,35.78,71.81,4.1,122,"15 Km SSE of Chitral, Pakistan. Felt at Chitral",2016-09-12 05:14:16
13975,32.48,69.62,4.4,61,20 km North of Wana Pakistan,2016-09-09 11:03:12
14005,34.81,72.79,4.5,15,"33 ENE of Mingora, KPK",2016-09-05 04:50:13
14030,34.72,72.97,3.8,145,"NEAR SWAT,PAKISTAN",2016-09-02 08:19:50
14045,35.1,71.77,1.9,60,"16 KM SW of Dir, KPK.",2016-09-01 02:38:43
14053,34.65,73.21,2.3,120,"Near Jabori KPK, Pakistan",2016-08-31 14:37:49
14059,29.87,66.5,4.5,80,"61 km south west of Quetta, Pakistan",2016-08-31 00:13:32
14063,34.79,73.13,2.1,7,Allai Pakistan,2016-08-30 11:29:08
14078,68.29,31.95,4.2,10,"128 km NW of Zhob, Blochistan, Pakistan",2016-08-27 22:44:47
14081,29.24,66.72,4.5,77,"27 Km Northeast of Kalat Airport, Balochistan, Pak",2016-08-27 14:46:52
14090,28.5,61.69,4.5,55,Iran-Pakistan Border Region,2016-08-26 10:19:31
14115,32.71,73.05,1.8,80,"30 KM Southeast of Chakwal, Punjab, Pakistan",2016-08-23 00:18:53
14155,30.62,66.46,4.7,35,"51km West of Pishin, Balochistan",2016-08-17 22:58:23
14169,34.82,72.46,1.7,10,"Near Mingora, Swat, KPK, Pakistan",2016-08-15 18:50:38
14202,34.56,73.29,3.0,20,"20km west of Balakot, KPK, Pakistan",2016-08-12 15:17:22
14212,35.71,72.7,3.7,20,North of Mingora Swat Pakistan,2015-11-27 17:08:13
14213,34.22,74.95,4.8,30,Near Srinagar Kashmir Pakistan,2015-11-27 16:40:28
14215,26.72,67.85,3.0,30,Dadu Pakistan,2015-11-26 16:18:00
14221,31.06,70.33,3.5,10,"91 km Southeast of Zhob, Baluchistan, Pakistan",2016-08-10 17:31:12
14230,35.17,72.56,2.5,10,"44 km NNE of Mingora, KPK",2016-08-09 07:29:01
14247,32.65,71.4,3.3,25,"15 km NW of Mianwali, Punjab, Pakistan",2016-08-06 01:58:26
14249,34.56,72.36,3.6,15,"24 km south of Mingora, KPK.  Swat. Felt at Swat",2016-08-05 16:18:54
14272,30.51,69.4,3.9,10,"79 km NE of Loralai, Balochistan",2016-08-02 01:43:46
14273,34.3,72.73,5.0,20,"48 km NW of Abbottabad, KPK",2016-08-02 01:23:58
14279,33.67,71.45,3.0,25,"Near Kohat, KPK, Pakistan",2016-08-01 11:56:50
14286,33.64,71.58,3.2,15,"Near Kohat, KPK, Pakistan",2016-08-01 05:37:16
14310,34.12,71.96,2.4,12,"12km North of Nowshera, KPK, Pakistan",2016-07-28 13:03:41
14314,33.42,70.71,2.7,14,Pakistan,2016-07-05 17:21:12
14349,29.34,68.37,3.7,18,"57 km SE of Sibi, Pakistan",2016-07-05 04:14:45
14382,30.59,69.53,3.1,109,"81 km SE of Zhob, Pakistan",2016-02-06 05:26:43
14384,34.88,72.75,3.2,32,Near Swat Pakistan,2016-02-05 10:40:03
14422,25.51,67.85,2.9,27,"Hyderabad, Sindh",2016-01-28 20:07:45
14427,31.5,73.94,4.1,40,"Nankana Sahb, Punjab",2016-01-27 07:02:30
14429,36.25,71.56,3.9,20,"Chitral, Punjab",2016-01-26 16:07:37
14431,27.09,27.4,4.4,70,"Dadu, Sindh",2016-01-26 09:41:15
